                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84573,                0.53662,                0.92432,                0.78477,                0.68228,                0.74704,                0.55452,                 0.9307,                0.58448,                0.92247,                0.00307,                0.00307,                0.00307
                     37,                0.84644,                  0.535,                0.92468,                0.74385,                 0.7363,                0.76275,                0.56142,                0.93123,                0.57958,                0.92522,               0.002872,               0.002872,               0.002872
                     38,                 0.8372,                0.52315,                0.92176,                0.75705,                0.73072,                0.76186,                 0.5641,                0.92898,                0.57905,                0.92288,               0.002674,               0.002674,               0.002674
                     39,                0.84018,                0.52559,                0.92077,                 0.7584,                0.75034,                0.77364,                0.56547,                0.92922,                0.57286,                0.92095,               0.002476,               0.002476,               0.002476
                     40,                0.82984,                0.51883,                0.92222,                0.76246,                0.71508,                0.76196,                 0.5623,                0.92763,                0.57507,                0.92422,               0.002278,               0.002278,               0.002278
                     41,                0.82884,                0.51219,                0.91764,                0.74687,                0.73647,                0.76097,                0.56209,                0.92451,                0.57625,                0.92153,                0.00208,                0.00208,                0.00208
                     42,                0.82089,                0.50125,                0.91635,                0.73157,                0.75716,                0.75996,                0.55769,                0.92504,                 0.5753,                0.92209,               0.001882,               0.001882,               0.001882
                     43,                0.81632,                0.49951,                0.91547,                0.73283,                0.73684,                0.75879,                0.56112,                 0.9267,                0.57601,                0.92165,               0.001684,               0.001684,               0.001684
                     44,                0.82041,                0.49125,                0.91497,                 0.7546,                0.73676,                0.76701,                0.56613,                0.92689,                0.56883,                0.92304,               0.001486,               0.001486,               0.001486
                     45,                0.80998,                0.48679,                0.91475,                0.75071,                0.72857,                0.76175,                0.56407,                 0.9265,                0.57481,                0.92477,               0.001288,               0.001288,               0.001288
                     46,                0.80708,                0.47787,                0.91391,                0.76292,                0.71943,                0.75565,                0.55631,                0.92697,                 0.5779,                0.92681,                0.00109,                0.00109,                0.00109
                     47,                0.80333,                0.47341,                0.91317,                0.77571,                0.72076,                0.76872,                0.56729,                0.92682,                0.57475,                0.92537,               0.000892,               0.000892,               0.000892
                     48,                0.80289,                0.46987,                 0.9119,                0.76791,                0.72533,                0.76266,                0.56502,                0.92658,                0.57241,                0.92333,               0.000694,               0.000694,               0.000694
                     49,                 0.7955,                0.46161,                0.90932,                0.75721,                0.73421,                0.76166,                0.56388,                 0.9252,                0.57273,                0.92266,               0.000496,               0.000496,               0.000496
